"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipStreamCreate",8,287069631,35883703,96.91385734531264
"hipMemcpyAsync",32,6984316,218259,2.357884399407559
"hipStreamDestroy",8,1219926,152490,0.41184340511392464
"hipLaunchKernel",8,587473,73434,0.19832914515510996
"hipMalloc",4,186051,46512,0.06281026665949475
"hipFree",4,147901,36975,0.049930939630563304
"hipDeviceSynchronize",1,12841,12841,0.004335083574797083
"__hipPushCallConfiguration",8,1710,213,0.0005772909362902432
"__hipPopCallConfiguration",8,1280,160,0.0004321242096207668
